sqft,bedrooms,bathrooms,age,distance_to_city,price
3219,1,1.0,35,10.2,937816.86
3633,5,1.0,54,1.8,1100816.67
983,2,1.5,64,24.3,225612.85
3472,5,2.5,28,18.2,1051429.1
1739,1,4.0,20,28.1,539293.07
3727,3,1.0,11,15.5,1123619.06
2070,3,3.0,33,32.4,618083.97
2150,1,3.0,37,33.3,583299.79
3133,3,3.0,24,28.3,955820.35
1785,1,4.0,29,34.7,540665.77
2156,3,2.5,46,6.9,656028.01
3474,6,3.5,9,24.6,1133083.06
1300,5,3.5,31,7.0,442649.61
3221,6,3.0,28,27.5,1048442.25
4052,1,1.5,4,32.3,1150575.31
2923,6,2.0,27,26.4,904043.31
2220,6,2.5,18,11.0,755280.05
1676,6,3.0,54,36.0,548768.25
2235,3,1.5,17,20.6,691314.11
1049,2,3.5,20,31.8,352959.23
2329,5,1.0,49,15.6,732573.54
2866,1,3.5,14,27.4,861052.34
2799,3,4.0,43,4.9,868425.59
3557,6,2.0,64,30.6,1037195.43
2679,1,4.0,38,33.7,761549.09
2131,2,3.0,67,36.8,579218.65
3053,3,2.5,2,4.9,935516.85
3904,3,1.5,7,10.0,1241513.83
2923,1,1.0,62,32.7,798843.66
1115,2,3.5,60,37.9,305567.82
1276,3,3.0,54,38.6,400791.16
3425,2,3.5,39,16.3,1009121.54
3351,6,2.0,56,36.0,947478.89
862,3,1.0,70,9.6,262903.64
1502,1,1.0,7,9.5,523008.41
890,5,1.5,35,26.9,270781.61
1477,5,1.5,60,10.1,447147.39
986,1,3.5,55,14.5,322999.71
2283,4,4.0,6,27.1,764343.76
2249,6,2.0,13,10.3,759629.63
1379,5,2.5,17,17.2,491198.59
908,4,4.0,70,4.4,366210.63
3271,5,4.0,1,38.8,1064898.1
1281,4,2.5,61,8.9,403315.15
2242,1,1.5,48,0.6,628527.22
3815,4,2.0,54,28.0,1127496.8
3592,5,3.5,62,6.6,1087003.43
2972,6,3.0,7,30.0,1007453.29
834,1,3.0,61,20.4,256342.16
2680,1,4.0,23,3.2,850370.3
878,6,4.0,30,16.4,411064.15
2971,5,1.0,10,17.1,909611.91
2990,5,3.0,40,37.4,896166.96
1577,3,2.5,16,27.0,543610.32
1828,4,2.0,9,0.9,620671.79
1009,1,3.0,27,20.5,311529.5
1142,3,1.0,31,15.1,392379.26
3481,3,3.0,67,0.8,1088842.53
3946,5,2.0,13,37.6,1172089.68
1038,6,3.0,19,11.3,440131.35
3077,2,3.5,43,8.5,929545.54
2601,3,4.0,6,4.1,866039.71
2334,3,1.0,0,13.7,784925.15
1261,6,2.5,70,28.4,441755.87
2897,1,1.0,9,37.8,802955.81
747,3,3.0,70,6.3,255060.06
1122,1,2.0,46,36.0,306544.34
2065,2,3.5,31,26.8,584571.79
2048,5,4.0,52,39.0,622252.86
1569,2,4.0,22,35.3,436446.01
701,2,3.5,42,31.4,196359.57
3610,2,2.0,20,31.6,1058885.1
1042,4,4.0,4,34.4,399615.13
2485,3,2.0,29,9.3,820794.71
3303,2,2.5,42,11.5,1021380.35
2038,6,3.0,51,27.3,658677.74
4055,5,2.0,3,5.1,1292290.24
1687,1,1.0,55,14.2,467720.52
3821,3,2.5,65,5.1,1141263.33
781,6,2.5,0,21.0,339897.43
3903,5,3.5,25,14.9,1248982.32
1952,5,2.0,15,28.9,638200.63
1830,5,2.0,52,13.4,571368.36
1385,4,3.5,48,27.3,415885.12
1312,5,3.0,38,16.5,473944.68
1460,4,4.0,41,18.9,483718.37
2411,6,1.5,65,19.2,756597.75
1295,6,1.0,36,20.9,401086.02
3192,5,2.0,11,32.8,965767.23
1520,2,1.5,3,2.3,490871.68
2546,5,4.0,9,18.5,878988.64
3542,6,2.5,63,16.3,1042128.14
1204,6,3.5,0,35.8,486645.08
3788,4,1.5,22,32.3,1060371.26
3450,5,2.5,6,22.5,1085945.23
1146,4,3.5,67,39.5,324977.15
3038,3,4.0,56,24.7,897013.56
4002,5,2.5,20,29.9,1168692.18
2544,4,2.0,31,33.7,740676.91
2584,6,1.5,35,17.9,847356.65
3522,3,1.5,34,13.8,1049418.66
1217,2,2.5,19,28.4,379999.31
863,4,2.5,42,21.9,285568.87
2320,4,4.0,2,34.3,760532.13
3735,5,2.5,61,0.7,1117196.08
4095,4,3.0,69,32.1,1195653.33
1503,4,1.5,34,17.7,501754.04
3381,4,3.5,21,33.7,1024544.03
1122,5,3.0,3,36.3,374104.59
943,6,2.5,17,34.7,325873.82
1344,1,2.0,48,13.4,380266.46
2152,3,4.0,53,10.5,695530.43
935,4,1.0,69,2.6,323187.9
881,6,1.0,3,38.0,304479.73
1416,1,3.0,19,9.9,467647.0
1492,4,3.5,32,30.8,487837.64
1287,5,3.0,14,31.2,461449.02
2970,1,2.0,48,16.2,869649.4
3528,2,1.0,31,4.5,1052699.21
3059,1,4.0,5,14.2,915543.11
