Income,Credit Score,Age,Loan Amount,Employment Years,Loan Approved
71703.78,648,50,8728.6,9.3,Yes
42120.35,643,44,22276.9,21.6,Yes
81509.93,789,57,47973.92,13.5,Yes
85692.42,715,22,34610.62,5.1,Yes
22077.23,674,35,2000.0,14.7,Yes
36352.05,727,33,13001.57,7.2,Yes
67812.49,532,21,18438.7,0.0,Yes
58042.66,687,48,25664.49,18.0,Yes
64630.37,840,35,24420.84,11.2,Yes
46233.03,700,45,37170.78,11.7,Yes
84346.76,695,61,23732.01,17.3,Yes
82111.42,731,34,12520.97,3.8,Yes
66452.68,757,33,22213.15,6.8,Yes
89799.31,540,39,38214.9,12.6,Yes
75285.21,564,47,55249.88,14.5,Yes
46095.57,706,32,27637.12,3.2,No
73112.52,636,31,30789.09,6.7,Yes
43904.58,788,48,15232.64,15.7,Yes
84325.91,666,41,32441.19,12.3,Yes
63901.63,545,21,17965.67,0.0,No
60933.03,595,25,2000.0,6.2,Yes
50019.55,484,53,29492.4,23.8,Yes
91895.91,672,42,32157.92,11.2,Yes
61600.35,676,30,26440.12,0.0,Yes
55576.79,658,36,9642.21,7.6,Yes
57253.06,771,38,35487.45,6.6,Yes
76710.8,780,45,23328.81,11.2,Yes
73039.77,677,24,12756.29,1.8,Yes
74080.12,530,29,42770.34,2.1,Yes
74478.06,736,40,26457.82,6.8,Yes
112116.25,732,37,62630.92,6.8,Yes
56058.87,713,43,28892.84,10.6,Yes
53730.66,764,25,34415.5,1.9,Yes
47097.0,603,41,19151.59,4.7,Yes
78551.55,841,48,37262.24,6.7,Yes
89837.39,618,42,19612.19,8.3,Yes
62493.16,746,39,32454.13,8.5,Yes
46516.56,563,37,2000.0,9.1,Yes
46861.41,620,29,15447.35,0.0,Yes
79313.04,804,37,41615.15,7.2,Yes
81351.59,670,50,36524.41,24.4,Yes
76949.39,753,36,24708.84,14.2,Yes
50358.79,708,29,2000.0,4.5,Yes
70107.55,682,33,4704.23,0.0,Yes
67567.09,792,40,25542.17,11.4,Yes
69811.15,672,34,23614.11,7.3,Yes
84171.43,556,42,2000.0,11.8,Yes
69919.1,630,43,18347.85,6.7,Yes
79936.1,731,46,34937.84,9.1,Yes
66486.74,720,52,28389.75,11.4,Yes
71360.63,572,47,31760.13,21.8,Yes
78888.34,636,28,2000.0,7.4,Yes
32942.57,646,28,5112.92,2.3,Yes
57967.23,663,37,2632.68,7.3,Yes
54651.8,587,33,26309.15,1.7,Yes
50944.69,643,26,2000.0,5.9,Yes
58946.87,635,33,21660.26,5.8,Yes
97888.71,748,33,43236.25,8.9,Yes
45951.72,751,31,16809.3,2.6,Yes
86302.12,679,34,25022.76,7.5,Yes
27976.87,661,49,2000.0,9.6,Yes
57632.53,700,39,4419.36,12.9,Yes
68580.57,629,62,41655.76,20.2,Yes
77896.89,604,39,26415.55,10.6,No
80646.98,619,35,40672.58,7.0,Yes
82453.64,642,38,17809.02,6.1,Yes
57328.05,603,40,14173.44,6.6,Yes
54828.26,702,42,4614.71,7.8,Yes
83875.47,745,58,21383.21,10.0,Yes
60791.3,571,29,44872.34,6.0,No
36934.9,692,46,23034.2,12.4,Yes
40067.68,674,40,14520.48,9.6,Yes
44772.05,716,22,2000.0,1.3,Yes
75937.54,689,45,2785.38,6.4,Yes
68133.37,581,50,48854.31,20.9,Yes
80190.68,595,29,3574.94,5.8,Yes
55600.44,692,37,14359.91,5.8,Yes
68487.87,767,21,41621.67,0.0,No
78762.99,524,25,36174.41,4.7,Yes
58194.38,716,48,8679.28,28.2,Yes
75049.06,779,33,15349.0,5.3,Yes
50437.63,679,26,21152.23,0.0,Yes
57012.82,731,40,5981.07,6.6,Yes
56601.77,637,32,19995.5,10.3,Yes
38691.53,681,33,16075.54,8.1,Yes
75713.39,568,45,22720.47,15.0,Yes
54673.15,514,26,29936.25,0.6,Yes
65274.87,761,28,37140.3,6.9,Yes
75576.43,616,39,32668.35,13.3,Yes
74823.69,656,47,26931.32,10.9,Yes
79638.47,586,50,30591.1,17.9,Yes
62833.32,584,31,4526.86,1.9,No
55687.44,677,47,21620.83,18.9,Yes
63246.2,635,30,28510.14,4.8,Yes
27878.64,718,56,9871.12,26.7,Yes
33163.53,724,26,36231.57,2.8,Yes
35900.61,714,51,31427.97,12.9,Yes
43060.57,708,31,30847.22,4.0,No
73795.03,808,58,35612.77,20.3,Yes
45079.46,610,43,31232.39,6.0,Yes
56680.42,686,27,12843.71,0.4,No
93583.02,775,32,35121.52,3.7,Yes
57162.19,785,45,21204.84,13.4,Yes
81225.34,583,48,38639.27,13.6,Yes
44460.41,667,37,15529.07,8.2,Yes
60480.37,792,38,43332.74,14.0,Yes
44099.51,728,45,14029.11,11.3,Yes
57541.27,705,39,14528.84,8.2,Yes
83486.78,674,25,47225.63,0.8,Yes
26998.95,661,29,3309.77,2.0,Yes
74557.32,712,40,16780.7,3.6,Yes
70230.18,671,50,47641.8,15.2,Yes
51928.7,687,54,23679.93,20.7,Yes
33186.73,696,45,3699.19,13.5,Yes
66586.85,639,40,27728.43,0.0,Yes
53351.16,730,45,10322.87,17.6,Yes
70118.88,850,31,10357.08,3.5,Yes
65480.75,557,36,31551.2,11.3,Yes
100239.14,714,29,15830.78,1.3,Yes
59734.18,633,25,24323.57,0.0,No
42483.06,733,41,28674.91,3.5,Yes
68944.06,693,39,34746.47,14.1,Yes
69839.93,747,44,30603.85,6.6,Yes
94902.13,778,43,18880.11,10.8,Yes
83372.45,704,40,20847.98,6.0,Yes
72851.16,775,43,22045.86,11.6,Yes
97192.66,514,37,59533.28,14.6,Yes
38847.21,809,42,25824.25,14.1,Yes
50925.47,718,30,11242.69,1.8,Yes
44615.33,771,41,16991.9,16.5,Yes
56424.18,599,44,37670.05,12.8,Yes
34712.9,628,31,19627.01,5.8,Yes
78973.32,701,38,22917.54,3.5,Yes
60111.1,689,31,21980.32,4.4,Yes
32642.26,711,32,15118.95,9.5,Yes
42657.26,771,26,2000.0,4.4,Yes
71897.3,558,50,20259.24,9.1,Yes
83438.78,763,48,33667.46,21.9,Yes
108928.08,691,43,58922.88,9.2,Yes
129104.97,675,57,55005.11,9.7,Yes
74117.01,580,36,30420.23,2.3,No
43230.16,728,65,12232.94,21.3,Yes
18094.98,509,35,2000.0,13.0,Yes
70889.65,739,40,27301.21,15.4,Yes
47115.3,578,34,11072.93,4.6,Yes
55862.14,694,41,9277.41,6.7,No
51533.87,681,46,14121.2,20.3,Yes
61902.6,778,36,41284.53,10.3,Yes
88451.57,677,55,38680.51,16.5,Yes
68455.07,638,40,18959.66,14.6,Yes
61510.03,652,40,28629.8,10.4,Yes
42215.62,785,28,8040.14,3.9,Yes
28156.98,730,42,2000.0,16.0,Yes
54301.23,661,36,2000.0,5.4,Yes
63816.78,672,31,22635.45,11.7,Yes
103894.46,572,30,31598.86,1.7,Yes
67866.04,719,64,32500.38,20.9,Yes
86620.27,558,35,5365.46,10.0,Yes
54015.5,746,23,19877.83,0.0,Yes
38931.24,700,31,8331.79,10.1,Yes
43767.43,850,37,10268.65,9.1,Yes
49045.03,607,43,36740.25,16.6,Yes
111826.33,682,43,11487.18,12.4,Yes
46929.49,825,44,8246.1,8.0,Yes
83446.76,779,31,45238.98,3.1,Yes
45135.6,638,41,24275.52,14.7,Yes
85494.61,707,29,14466.0,5.1,Yes
73468.92,690,31,29626.96,5.7,Yes
61553.97,711,28,10173.09,3.1,Yes
64103.22,638,26,28105.32,0.9,Yes
50594.67,683,48,26206.15,8.4,Yes
74813.59,570,44,32974.4,13.9,Yes
54990.36,700,47,20028.33,4.1,Yes
38036.67,724,38,15458.69,8.9,Yes
36885.37,673,45,19017.84,15.4,Yes
68796.93,569,21,25392.87,0.0,Yes
99740.01,764,46,27903.89,16.0,Yes
68519.82,717,39,38287.42,14.1,Yes
62389.96,636,44,21148.08,17.4,Yes
71288.18,669,41,28611.97,20.8,Yes
93732.04,577,28,7278.84,6.3,Yes
69826.42,613,23,9776.06,5.8,Yes
55959.6,650,30,11142.8,6.2,Yes
89338.35,782,43,45622.24,9.7,Yes
74432.64,642,44,36622.69,14.1,Yes
98786.63,738,24,2000.0,0.3,Yes
69031.16,650,28,26074.7,0.1,Yes
38061.68,709,30,19357.48,0.0,Yes
34900.5,679,34,2000.0,13.9,Yes
101320.41,755,24,28113.09,0.0,Yes
102920.65,650,23,43402.45,0.0,Yes
61050.58,572,29,28788.66,0.0,Yes
